ticker;shortName;sector;industry;last_price;range_52_weeks;averageVolume10days;dividendYield;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency;modification_date
par.pa;PAREF;Real Estate;REIT—Diversified;66.0;47.40 - 67.00;175;0.0817;1653350400.0;0.79556;12.021858;;5.49;;0.54172;99534600.0;1656547200.0;EUR;1672436564
iex.as;IEX GROUP N.V.;Financial Services;Asset Management;1.5800000429153442;1.48 - 2.10;388;;1450396800.0;0.15496;;;-0.125;;0.459135;5784554.0;1656547200.0;EUR;1672436564
fcmc.pa;FERM.CASINO MUNICIPAL CANNES;Consumer Cyclical;Resorts & Casinos;1310.0;1,080.00 - 1,350.00;1;;1589328000.0;0.05105;;;-74.57;;0.73513;229488416.0;1572480000.0;EUR;1672436564
srp.pa;SHOWROOMPRIVE;Consumer Cyclical;Internet Retail;1.6820000410079956;0.98 - 2.28;114763;;;0.012920001;4.889535;84.100006;0.344;0.02;2.078305;199313648.0;1656547200.0;EUR;1672436564
icad.pa;ICADE;Real Estate;REIT—Diversified;40.2400016784668;33.52 - 64.24;68885;0.1109;1656892800.0;0.31799;124.58205;7.4106817;0.323;5.43;1.322635;3045846272.0;1656547200.0;EUR;1672436564
aure.pa;AUREA;Industrials;Waste Management;6.659999847412109;6.32 - 13.16;3368;0.023;1657065600.0;0.05204;4.861314;39.176468;1.37;0.17;0.954171;63885116.0;1656547200.0;EUR;1672436564
dpt.pa;ST DUPONT;Consumer Cyclical;Luxury Goods;0.1305000036954879;0.11 - 0.14;74398;;1410825600.0;-0.3447;;;-0.026;;0.744972;68418544.0;1632960000.0;EUR;1672436564
homi.br;HOME INVEST BELGIUM;Real Estate;REIT—Residential;21.795000076293945;20.30 - 29.53;10302;0.0125;1652054400.0;1.6116201;3.7943943;;5.744;;0.186991;71676784.0;1656547200.0;EUR;1672436564
dmsim.br;DMS IMAGING;Healthcare;Biotechnology;0.0555999986827373;0.05 - 0.25;66887;;;-0.00068000006;0.37066665;;0.15;;1.012142;104682568.0;1656547200.0;EUR;1672436564
mdxh.br;MDXHEALTH;Healthcare;Diagnostics & Research;0.5979999899864197;0.60 - 0.97;34482;;;-1.37892;;;-0.282;;0.949507;93269456.0;1656547200.0;EUR;1672436564
save.pa;SAVENCIA S.A.;Consumer Defensive;Packaged Foods;58.400001525878906;50.70 - 67.40;666;0.026600001;1652659200.0;0.014680001;10.281691;7.1921186;5.68;8.12;0.85323;799256576.0;1656547200.0;EUR;1672436564
dgb.as;DGB GROUP N.V.;Basic Materials;Lumber & Wood Production;0.9480000138282776;0.69 - 1.34;1662;;1449446400.0;-0.92627;;;-0.435;;0.755669;10807485.0;1625011200.0;EUR;1672436564
berr.pa;FIN.IMMOB.ETANG BERRE MEDIT.;Real Estate;Real Estate Services;9.0;4.64 - 9.80;94;;1377475200.0;0.13204001;;;-0.068;;0.536157;17199000.0;1609372800.0;EUR;1672436564
carm.pa;CARMILA;Real Estate;REIT—Retail;13.34000015258789;12.08 - 17.26;70232;0.0719;1653264000.0;0.72273004;;;-1.418;;1.722721;1944024832.0;1656547200.0;EUR;1672436564
hdf.pa;HYDROGENE DE FRANCE;Utilities;Utilities—Renewable;20.89999961853028;20.80 - 35.20;2201;;;-1.0946;;;;;;286570336.0;1656547200.0;EUR;1672436564
forse.pa;FORSEE POWER;Industrials;Electrical Equipment & Parts;3.3299999237060547;2.26 - 6.06;11200;;;-0.3667;;;-102.012;;;;1656547200.0;EUR;1672436564
stf.pa;STEF;Industrials;Integrated Freight & Logistics;90.5999984741211;73.00 - 109.00;2406;0.0377;1651536000.0;0.03366;15.460751;12.4965515;5.86;7.25;0.92041;1122316544.0;1656547200.0;EUR;1672436564
asml.as;ASML HOLDING;Technology;Semiconductor Equipment & Materials;503.7999877929688;375.75 - 718.30;672263;0.012999999;1667433600.0;0.28289;46.873837;30.626137;10.748;16.45;1.176294;204781584384.0;1664668800.0;EUR;1672436564
dge.pa;DIAGEO;Consumer Defensive;Beverages—Wineries & Distilleries;42.0;39.52 - 49.47;534;0.0218;1661385600.0;0.21025999;76.08696;;0.552;;0.407359;98028421120.0;1656547200.0;EUR;1672436564
alfen.as;ALFEN;Industrials;Electrical Equipment & Parts;84.19999694824219;59.60 - 120.80;83630;;;0.1088;147.7193;;0.57;;1.389636;1826685312.0;1656547200.0;EUR;1672436564
medcl.pa;MEDINCELL S.A.;Healthcare;Biotechnology;6.179999828338623;4.73 - 10.74;15370;;;0.0;;8.025974;-1.243;0.77;0.937333;153702160.0;1648684800.0;EUR;1672436564
oci.as;OCI N.V.;Basic Materials;Specialty Chemicals;33.41999816894531;22.80 - 44.40;325535;0.1285;1666742400.0;0.13585;;11.029702;-0.703;3.03;1.112537;7009644032.0;1656547200.0;EUR;1672436564
hegau.as;HEDOSOPHIA EUROPEAN GROWTH UNIT;Financial Services;Shell Companies;9.600000381469728;9.00 - 10.60;0;;;0.0;;;;;;;1656547200.0;EUR;1672436564
sbt.pa;OENEO;Consumer Defensive;Beverages—Wineries & Distilleries;14.0;13.20 - 16.80;5942;0.0217;1664755200.0;0.11395001;33.333336;27.450981;0.42;0.51;0.536585;899001600.0;1648684800.0;EUR;1672436564
augr.pa;AUGROS COSMETICS;Consumer Cyclical;Packaging & Containers;5.550000190734863;3.02 - 9.80;0;;931478400.0;0.00242;;;-0.47;;0.976893;7856247.0;1640908800.0;EUR;1672436564
orap.pa;ORAPI;Basic Materials;Specialty Chemicals;4.78000020980835;3.75 - 6.90;1718;;1430265600.0;0.00086000003;2.820059;5.031579;1.695;0.95;-0.115532;31409954.0;1640908800.0;EUR;1672436564
